34997;38550;638;599;736;805
16341;15879;648;667;1335;1345
7204;6340;667;775;1276;1325
3023;2630;491;510;726;775
579;520;618;628;1188;1060
501;422;589;608;520;569
CAL2;CAL2;A;A;H;H
CAL3;CAL3;B;B;I;I
CAL4;CAL4;C;C;J;J
CAL5;CAL5;D;D;K;K
CAL8;CAL8;E;E;L;L
CAL9;CAL9;F;F;M;M
